business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2021-07-29,JBLB,914.0,989.1,890.0,989.1,100.0,95257.0
2021-08-01,JBLB,1007.7,1088.0,1007.7,1088.0,210.0,223780.0
2021-08-02,JBLB,1088.0,1131.8,1088.0,1131.8,132.0,147817.2
2021-08-03,JBLB,1131.8,1244.9,1131.8,1244.9,220.0,261929.0
2021-08-04,JBLB,1248.8,1369.3,1248.8,1369.3,160.0,209036.6
2021-08-05,JBLB,1369.3,1506.2,1369.3,1506.2,145.0,211095.2
2021-08-08,JBLB,1511.7,1656.8,1511.7,1656.8,308.0,492721.1
2021-08-09,JBLB,1688.8,1822.4,1688.8,1822.4,240.0,430418.5
2021-08-10,JBLB,1858.8,2004.6,1858.8,2004.6,250.0,497575.0
2021-08-11,JBLB,2004.6,2205.0,2004.6,2205.0,250.0,543906.9
2021-08-12,JBLB,2205.0,2425.5,2249.1,2425.5,320.0,768414.9
2021-08-15,JBLB,2451.8,2668.0,2451.8,2668.0,540.0,1427091.9
2021-08-16,JBLB,2721.3,2934.8,2721.3,2934.8,200.0,580370.7
2021-08-17,JBLB,2993.4,3228.2,2993.4,3228.2,280.0,893613.4
2021-08-18,JBLB,3292.7,3551.0,3292.7,3551.0,294.0,1036377.0
2021-08-19,JBLB,3622.0,3906.1,3622.0,3906.1,548.0,2132919.3
2021-08-24,JBLB,3984.2,4296.7,3984.2,4296.7,959.0,4110005.8
2021-08-25,JBLB,4382.6,4726.3,4382.6,4726.3,2881.0,13606336.6
2021-08-26,JBLB,4820.8,5198.9,4820.8,5198.9,39086.0,203122470.9
2021-08-29,JBLB,5302.8,5516.9,4802.0,5079.0,145451.0,749246159.1
2021-08-31,JBLB,5079.0,5079.0,4825.0,4836.0,56195.0,274154763.4
2021-09-01,JBLB,4800.0,5089.0,4770.1,4921.0,31824.0,154841329.2
2021-09-02,JBLB,5000.0,5000.0,4790.1,4800.0,22335.0,108436347.1
2021-09-05,JBLB,4800.0,4800.0,4533.1,4549.0,31477.0,145127972.0
2021-09-06,JBLB,4500.0,4946.0,4470.0,4900.0,21268.0,99677148.0
2021-09-07,JBLB,4998.0,4998.0,4680.0,4760.0,11413.0,54374215.9
2021-09-08,JBLB,4850.0,4850.0,4610.0,4660.0,9190.0,42850352.0
2021-09-09,JBLB,4600.0,4680.0,4590.0,4599.0,13102.0,60386373.0
2021-09-12,JBLB,4580.0,4775.0,4580.0,4745.2,16737.0,77792897.0
2021-09-13,JBLB,4750.0,4798.0,4650.0,4652.0,9952.0,46624732.9
2021-09-14,JBLB,4614.0,4650.0,4580.0,4591.0,9328.0,42919417.0
2021-09-15,JBLB,4526.0,4580.0,4499.0,4510.0,12100.0,54769105.5
2021-09-16,JBLB,4500.0,4510.0,4360.0,4386.0,17454.0,76984303.4
2021-09-20,JBLB,4400.0,4420.0,4151.0,4151.1,22231.0,94439504.4
2021-09-21,JBLB,4149.0,4437.0,3981.0,4140.0,17138.0,70651828.4
2021-09-22,JBLB,4140.0,4410.0,4140.0,4398.0,21037.0,91264138.6
2021-09-23,JBLB,4400.0,4489.0,4238.6,4265.0,14756.0,64373265.0
2021-09-26,JBLB,4250.0,4265.0,4110.0,4120.0,9047.0,37574777.0
2021-09-27,JBLB,4120.0,4150.0,4000.0,4012.0,9090.0,36734389.6
2021-09-28,JBLB,3950.0,4100.0,3940.0,3940.0,10409.0,41388378.9
2021-09-29,JBLB,3940.0,4090.0,3899.0,4090.0,11067.0,44001780.0
2021-09-30,JBLB,4100.0,4149.5,4000.0,4000.1,9626.0,38945980.2
2021-10-03,JBLB,4010.0,4015.0,3880.0,3882.1,7638.0,29923651.0
2021-10-04,JBLB,3860.0,3970.0,3800.0,3871.0,9261.0,35880029.5
2021-10-05,JBLB,3900.0,4045.0,3900.0,4020.0,11213.0,44764009.1
2021-10-06,JBLB,4100.0,4360.0,4100.0,4287.7,17512.0,74574373.5
2021-10-10,JBLB,4373.4,4716.0,4373.4,4695.0,39706.0,183883905.4
2021-10-11,JBLB,4785.0,4785.0,4420.0,4549.0,20121.0,91111444.1
2021-10-17,JBLB,4501.0,4650.0,4501.0,4615.0,6832.0,31285014.4
2021-10-18,JBLB,4707.3,4707.3,4350.0,4390.0,14859.0,66180938.0
2021-10-19,JBLB,4302.2,4304.0,4159.0,4230.0,15380.0,65141666.6
2021-10-20,JBLB,4311.0,4449.0,4261.0,4340.0,7143.0,30984299.0
2021-10-21,JBLB,4340.0,4400.0,4256.0,4302.0,7581.0,32739345.7
2021-10-24,JBLB,4350.0,4380.0,4280.0,4345.0,7632.0,33120674.5
2021-10-25,JBLB,4400.0,4500.0,4345.0,4462.0,13434.0,59432452.3
2021-10-26,JBLB,4470.0,4610.0,4470.0,4500.0,12162.0,55001539.0
2021-10-27,JBLB,4500.0,4551.0,4420.0,4495.0,9663.0,43338412.6
2021-10-28,JBLB,4435.0,4895.0,4435.0,4880.0,38874.0,184402892.5
2021-10-31,JBLB,4900.0,4975.0,4705.0,4815.0,15823.0,76622031.6
2021-11-01,JBLB,4815.0,4840.0,4675.0,4700.0,15108.0,71270893.2
